Frequency (Hz),Channel 1 (dBV),Phase (deg)
64.8,-112.7764361698445,-118.5837885002309
65,-110.7420534911028,156.7660720179032
65.2,-110.7037934648492,114.8189107148174
65.40000000000001,-108.3590344770829,21.70240424196841
65.59999999999999,-116.4632763333334,-66.98698546117761
65.8,-132.8234002752437,-39.26649870176796
66,-111.5967045229199,-159.0522645228052
66.2,-116.8537006199246,51.23438628314485
66.40000000000001,-117.004257176021,12.27837956005976
66.59999999999999,-117.4594665859443,-111.1323987460675
66.8,-117.1734081671678,179.7440340307109
67,-123.7377907979913,-102.9353210636703
67.2,-115.6743481292561,32.43375274935996
67.40000000000001,-138.1010346540353,-28.54279537956782
67.59999999999999,-125.8559443435673,-61.84857975573886
67.8,-113.2214308443533,136.2951202357411
68,-136.9507659607608,2.104801225257583
68.2,-116.4404124629417,-1.639699140688691
68.40000000000001,-120.6748754712626,80.69757998431092
68.59999999999999,-110.5926305962858,-92.8144474728459
68.8,-123.1754801265691,-163.6235930396163
69,-123.8092638347493,51.43435638887191
69.2,-112.2319733085631,169.6844964083603
69.40000000000001,-116.6775240885891,109.5925023021362
69.59999999999999,-113.2048693030279,78.71660580228664
69.8,-117.9172070240009,52.81380380865835
70,-111.295402268127,-19.16735635821168
70.2,-114.4007144893972,-70.67144289704349
70.40000000000001,-109.409780503054,-66.71887957841464
70.59999999999999,-116.4200962029307,-141.4979579690444
70.8,-107.4893507730291,178.167174033033
71,-111.4646518542913,98.5943854701559
71.2,-108.8164822305528,105.3643028127256
71.40000000000001,-110.3467268971966,61.58855896857753
71.59999999999999,-110.2033862862211,1.165276765223266
71.8,-109.6615175489957,-43.13372326471382
72,-106.0635993087826,-71.60923380228674
72.2,-108.5922295957552,-109.8128702945244
72.40000000000001,-111.8178577006369,-170.5821118209392
72.59999999999999,-107.2751297960859,150.1027725027462
72.8,-106.4126364390299,127.1324449065447
73,-107.8539956803206,84.32484554774126
73.2,-105.3212985125108,36.16244633615115
73.40000000000001,-105.6005984332754,-18.11106044273257
73.59999999999999,-104.2975971640107,-62.00012772768832
73.8,-105.2385155353058,-94.58284308495665
74,-106.8575636957469,-153.0864822891947
